,,Model 1,,,Model 2,,,Model 3,,,Model 4,
,1A,1B,1C,2A,2B,2C,3A,3B,3C,4A,4B,4C
Panel A,"Number
of new
RMS","Stock
market
returns","Negative
media
coverage","Number
of new
RMS","Stock
market
returns","Negative
media
coverage","Number
of new
RMs","Stock
market
returns","Negative
media
coverage","Number
of new
RMS","Stock
market
returns","Negative
media
coverage"
Stock market,0.05 ***,,-0.12 *,0.05 ***,,-0.14 *,0.04 **,,-0.12 *,0.05 ***,,-0.14 *
returns,( 0.01 ),,( 0.06 ),( 0.01 ),,( 0.06 ),( 0.01 ),,( 0.06 ),( 0.01 ),,( 0.06 )
Stock market,,-0.09 *,,,-0.10 *,,,-0.09 *,,,-0.10 *,
returns lag,,( 0.04 ),,,( 0.04 ),,,( 0.04 ),,,( 0.04 ),
Available shellsª,-0.03,0.52,0.63 **,-0.12 **,0.41,0.40,0.05,0.79¹,0.06,-0.05,0.68,-0.15
,( 0.04 ),( 0.47 ),( 0.23 ),( 0.04 ),( 0.47 ),( 0.25 ),( 0.05 ),( 0.47 ),( 0.28 ),( 0.05 ),( 0.47 ),( 0.31 )
% of past,-0.01,-0.05,-0.02,-0.04,-0.04,-0.04,-0.01,-0.06,0.00,-0.04,-0.04,-0.03
small RMsb,( 0.03 ),( 0.09 ),( 0.11 ),( 0.03 ),( 0.10 ),( 0.11 ),( 0.03 ),( 0.09 ),( 0.11 ),( 0.03 ),( 0.09 ),( 0.11 )
Investor,-0.00,0.01,0.00,0.00,0.01¹,0.00,0.00,0.01¹,-0.01,0.00,0.01 *,-0.01
sentiment,( 0.00 ),( 0.01 ),( 0.01 ),( 0.00 ),( 0.01 ),( 0.01 ),( 0.00 ),( 0.01 ),( 0.01 ),( 0.00 ),( 0.01 ),( 0.01 )
Buy,0.01,-0.09,0.03,-0.01,-0.08,0.02,0.01,-0.07,0.03,-0.00,-0.07,0.02
recommendations,( 0.02 ),( 0.06 ),( 0.06 ),( 0.02 ),( 0.06 ),( 0.06 ),( 0.02 ),( 0.06 ),( 0.06 ),( 0.02 ),( 0.06 ),( 0.06 )
Hold,0.01,-0.02,0.03,-0.01,-0.02,0.01,0.01,-0.02,-0.01,-0.00,-0.02,-0.02
recommendations,( 0.03 ),( 0.10 ),( 0.10 ),( 0.03 ),( 0.10 ),( 0.10 ),( 0.03 ),( 0.10 ),( 0.10 ),( 0.03 ),( 0.10 ),( 0.10 )
Sell,0.14,-0.18,0.20,0.12,-0.16,0.18,0.17⁰,-0.15,0.13,0.14,-0.13,0.12
recommendations,( 0.10 ),( 0.34 ),( 0.30 ),( 0.10 ),( 0.34 ),( 0.30 ),( 0.10 ),( 0.33 ),( 0.30 ),( 0.10 ),( 0.33 ),( 0.29 )
Number of new IPOs,0.04 ***,0.02,0.04,0.03 **,0.03,0.03,0.03 ***,0.01,0.02,0.03 **,0.02,0.01
,( 0.01 ),( 0.03 ),( 0.04 ),( 0.01 ),( 0.03 ),( 0.04 ),( 0.01 ),( 0.03 ),( 0.04 ),( 0.01 ),( 0.03 ),( 0.04 )
RM rules July 2005,0.46 ***,0.29,0.64,-0.42 ***,0.46,-1.18,0.34 ***,0.40,1.33 *,-0.49 ***,0.61,-0.34
,( 0.09 ),( 0.68 ),( 0.48 ),( 0.12 ),( 0.68 ),( 0.80 ),( 0.09 ),( 0.67 ),( 0.53 ),( 0.13 ),( 0.67 ),( 0.82 )
SEC letter - June,-0.38 ***,- 1.24 *,1.02 ***,-0.60 ***,-1.18 *,0.71 *,-0.25 *,-1.18 *,0.52 *,-0.48 ***,-1.10 *,0.29
2011,( 0.10 ),( 0.59 ),( 0.26 ),( 0.10 ),( 0.58 ),( 0.28 ),( 0.11 ),( 0.58 ),( 0.30 ),( 0.11 ),( 0.58 ),( 0.31 )
Neutral media,-0.02,-0.06,0.26¹,-0.04,-0.07,0.26 *,-0.02,-0.05,0.28¹,-0.04,-0.05,0.28 *
coverage,( 0.05 ),( 0.15 ),( 0.15 ),( 0.05 ),( 0.15 ),( 0.15 ),( 0.05 ),( 0.15 ),( 0.15 ),( 0.05 ),( 0.15 ),( 0.15 )
Negative media,-0.21 ***,-0.30 *,,-0.24 ***,-0.29¹,,-0.20 **,-0.30 *,,-0.23 ***,-0.29 *,
coverage,( 0.06 ),( 0.18 ),,( 0.06 ),( 0.18 ),,( 0.06 ),( 0.17 ),,( 0.06 ),( 0.17 ),
"Number of past RMsa , b",,,,0.62 ***,-1.20¹,1.21 *,,,,0.61 ***,-1.49 *,0.97 *
,,,,( 0.07 ),( 0.64 ),( 0.51 ),,,,( 0.07 ),( 0.64 ),( 0.45 )
"% of past lower - status
RMsb",,,,,,,"-0.13 *
( 0.04 )
**","-0.73 **
( 0.24 )","0.67 **
( 0.23 )","-0.11 **
( 0.04 )","-0.81 ***
( 0.24 )","0.68 **
( 0.25 )"
Intercept,1.07 ***,-3.49,-6.62 ***,2.29 ***,- 1.99,-3.99 *,0.68 **,-4.47,-3.82 *,1.92 ***,-2.69,- 1.40
,( 0.23 ),( 3.42 ),( 1.29 ),( 0.25 ),( 3.50 ),( 1.57 ),( 0.26 ),( 3.40 ),( 1.49 ),( 0.28 ),( 3.47 ),( 1.78 )
n,,521,,,521,,,521,,,521,
Log - likelihood,,-2510.10,,,-2466.67,,,-2496.33,,,-2453.47,
